id,source,chapter,openintro_exercise_no,local_exercise_no,part_no,title,task,context,sub_question,original_text,raw_latex
ch_distributions_39_3,OpenIntro Statistics,ch_distributions,39,5,3,Auto insurance premiums,distribution,"Suppose a 
newspaper article states that the distribution of auto insurance premiums for 
residents of California is approximately normal with a mean of $1,650. The 
article also states that 25% of California residents pay more than $1,800.",Identify the standard deviation of insurance premiums in California.,"Auto insurance premiums

Suppose a 
newspaper article states that the distribution of auto insurance premiums for 
residents of California is approximately normal with a mean of $1,650. The 
article also states that 25% of California residents pay more than $1,800.

Identify the standard deviation of insurance premiums in California.","\qt{Auto insurance premiums\label{auto_insurance_premiums}} Suppose a 
newspaper article states that the distribution of auto insurance premiums for 
residents of California is approximately normal with a mean of \$1,650. The 
article also states that 25\% of California residents pay more than \$1,800. 
\begin{parts}
\item What is the Z-score that corresponds to the top 25\% (or the $75^{th}$ 
percentile) of the standard normal distribution?
\item What is the mean insurance cost? What is the cutoff for the 75th 
percentile?
\item Identify the standard deviation of insurance premiums in California.
\end{parts}"
ch_distributions_40,OpenIntro Statistics,ch_distributions,40,6,,SAT scores,probability,"SAT scores (out of 1600) are distributed 
normally with a mean of 1100 and a standard deviation of 200.
Suppose a school council awards a certificate of excellence
to all students who score at least 1350 on the SAT,
and suppose we pick one of the recognized students at random.
What is the probability this student's score will be
at least 1500?
(The material covered in
Section~[ref: conditionalProbabilitySection]
on conditional probability
would be useful for this question.)",,"SAT scores

SAT scores (out of 1600) are distributed 
normally with a mean of 1100 and a standard deviation of 200.
Suppose a school council awards a certificate of excellence
to all students who score at least 1350 on the SAT,
and suppose we pick one of the recognized students at random.
What is the probability this student's score will be
at least 1500?
(The material covered in
Section~[ref: conditionalProbabilitySection]
on conditional probability
would be useful for this question.)","\qt{SAT scores\label{sat_scores}}
SAT scores (out of 1600) are distributed 
normally with a mean of 1100 and a standard deviation of 200.
Suppose a school council awards a certificate of excellence
to all students who score at least 1350 on the SAT,
and suppose we pick one of the recognized students at random.
What is the probability this student's score will be
at least 1500?
(The material covered in
Section~\ref{conditionalProbabilitySection}
on conditional probability
would be useful for this question.)"
ch_distributions_41_1,OpenIntro Statistics,ch_distributions,41,7,1,Married women,probability,"The American Community Survey 
estimates that 47.1% of women ages 15 years and over are married.
[source: marWomenACS]","We randomly select three women between these ages. What is the 
probability that the third woman selected is the only one who is married?","Married women

The American Community Survey 
estimates that 47.1% of women ages 15 years and over are married.
[source: marWomenACS]

We randomly select three women between these ages. What is the 
probability that the third woman selected is the only one who is married?","\qt{Married women} \label{married_women} The American Community Survey 
estimates that 47.1\% of women ages 15 years and over are married.
\footfullcite{marWomenACS}
\begin{parts}
\item We randomly select three women between these ages. What is the 
probability that the third woman selected is the only one who is married?
\item What is the probability that all three randomly selected women are 
married?
\item On average, how many women would you expect to sample before selecting 
a married woman? What is the standard deviation?
\item If the proportion of married women was actually 30\%, how many women 
would you expect to sample before selecting a married woman? What is the 
standard deviation?
\item Based on your answers to parts (c) and (d), how does decreasing the 
probability of an event affect the mean and standard deviation of the wait 
time until success?
\end{parts}"
ch_distributions_41_2,OpenIntro Statistics,ch_distributions,41,7,2,Married women,probability,"The American Community Survey 
estimates that 47.1% of women ages 15 years and over are married.
[source: marWomenACS]","What is the probability that all three randomly selected women are 
married?","Married women

The American Community Survey 
estimates that 47.1% of women ages 15 years and over are married.
[source: marWomenACS]

What is the probability that all three randomly selected women are 
married?","\qt{Married women} \label{married_women} The American Community Survey 
estimates that 47.1\% of women ages 15 years and over are married.
\footfullcite{marWomenACS}
\begin{parts}
\item We randomly select three women between these ages. What is the 
probability that the third woman selected is the only one who is married?
\item What is the probability that all three randomly selected women are 
married?
\item On average, how many women would you expect to sample before selecting 
a married woman? What is the standard deviation?
\item If the proportion of married women was actually 30\%, how many women 
would you expect to sample before selecting a married woman? What is the 
standard deviation?
\item Based on your answers to parts (c) and (d), how does decreasing the 
probability of an event affect the mean and standard deviation of the wait 
time until success?
\end{parts}"
ch_distributions_41_3,OpenIntro Statistics,ch_distributions,41,7,3,Married women,sampling,"The American Community Survey 
estimates that 47.1% of women ages 15 years and over are married.
[source: marWomenACS]","On average, how many women would you expect to sample before selecting 
a married woman? What is the standard deviation?","Married women

The American Community Survey 
estimates that 47.1% of women ages 15 years and over are married.
[source: marWomenACS]

On average, how many women would you expect to sample before selecting 
a married woman? What is the standard deviation?","\qt{Married women} \label{married_women} The American Community Survey 
estimates that 47.1\% of women ages 15 years and over are married.
\footfullcite{marWomenACS}
\begin{parts}
\item We randomly select three women between these ages. What is the 
probability that the third woman selected is the only one who is married?
\item What is the probability that all three randomly selected women are 
married?
\item On average, how many women would you expect to sample before selecting 
a married woman? What is the standard deviation?
\item If the proportion of married women was actually 30\%, how many women 
would you expect to sample before selecting a married woman? What is the 
standard deviation?
\item Based on your answers to parts (c) and (d), how does decreasing the 
probability of an event affect the mean and standard deviation of the wait 
time until success?
\end{parts}"
ch_distributions_41_4,OpenIntro Statistics,ch_distributions,41,7,4,Married women,sampling,"The American Community Survey 
estimates that 47.1% of women ages 15 years and over are married.
[source: marWomenACS]","If the proportion of married women was actually 30%, how many women 
would you expect to sample before selecting a married woman? What is the 
standard deviation?","Married women

The American Community Survey 
estimates that 47.1% of women ages 15 years and over are married.
[source: marWomenACS]

If the proportion of married women was actually 30%, how many women 
would you expect to sample before selecting a married woman? What is the 
standard deviation?","\qt{Married women} \label{married_women} The American Community Survey 
estimates that 47.1\% of women ages 15 years and over are married.
\footfullcite{marWomenACS}
\begin{parts}
\item We randomly select three women between these ages. What is the 
probability that the third woman selected is the only one who is married?
\item What is the probability that all three randomly selected women are 
married?
\item On average, how many women would you expect to sample before selecting 
a married woman? What is the standard deviation?
\item If the proportion of married women was actually 30\%, how many women 
would you expect to sample before selecting a married woman? What is the 
standard deviation?
\item Based on your answers to parts (c) and (d), how does decreasing the 
probability of an event affect the mean and standard deviation of the wait 
time until success?
\end{parts}"
ch_distributions_41_5,OpenIntro Statistics,ch_distributions,41,7,5,Married women,probability,"The American Community Survey 
estimates that 47.1% of women ages 15 years and over are married.
[source: marWomenACS]","Based on your answers to parts (c) and (d), how does decreasing the 
probability of an event affect the mean and standard deviation of the wait 
time until success?","Married women

The American Community Survey 
estimates that 47.1% of women ages 15 years and over are married.
[source: marWomenACS]

Based on your answers to parts (c) and (d), how does decreasing the 
probability of an event affect the mean and standard deviation of the wait 
time until success?","\qt{Married women} \label{married_women} The American Community Survey 
estimates that 47.1\% of women ages 15 years and over are married.
\footfullcite{marWomenACS}
\begin{parts}
\item We randomly select three women between these ages. What is the 
probability that the third woman selected is the only one who is married?
\item What is the probability that all three randomly selected women are 
married?
\item On average, how many women would you expect to sample before selecting 
a married woman? What is the standard deviation?
\item If the proportion of married women was actually 30\%, how many women 
would you expect to sample before selecting a married woman? What is the 
standard deviation?
\item Based on your answers to parts (c) and (d), how does decreasing the 
probability of an event affect the mean and standard deviation of the wait 
time until success?
\end{parts}"
ch_distributions_42,OpenIntro Statistics,ch_distributions,42,8,,Survey response rate,probability,"Pew Research reported 
that the typical response rate to their surveys is only 9%. If for a 
particular survey 15,000 households are contacted, what is the probability 
that at least 1,500 will agree to respond? [source: surveysPew]",,"Survey response rate

Pew Research reported 
that the typical response rate to their surveys is only 9%. If for a 
particular survey 15,000 households are contacted, what is the probability 
that at least 1,500 will agree to respond? [source: surveysPew]","\qt{Survey response rate\label{survey_response_rate}} Pew Research reported 
that the typical response rate to their surveys is only 9\%. If for a 
particular survey 15,000 households are contacted, what is the probability 
that at least 1,500 will agree to respond? \footfullcite{surveysPew}"
ch_distributions_43,OpenIntro Statistics,ch_distributions,43,9,,Overweight baggage,normal_distribution,"Suppose weights of the 
checked baggage of airline passengers follow a nearly normal distribution 
with mean 45 pounds and standard deviation 3.2 pounds. Most airlines charge a 
fee for baggage that weigh in excess of 50 pounds. Determine what percent of 
airline passengers incur this fee.",,"Overweight baggage

Suppose weights of the 
checked baggage of airline passengers follow a nearly normal distribution 
with mean 45 pounds and standard deviation 3.2 pounds. Most airlines charge a 
fee for baggage that weigh in excess of 50 pounds. Determine what percent of 
airline passengers incur this fee.","\qt{Overweight baggage\label{overweight_baggage}} Suppose weights of the 
checked baggage of airline passengers follow a nearly normal distribution 
with mean 45 pounds and standard deviation 3.2 pounds. Most airlines charge a 
fee for baggage that weigh in excess of 50 pounds. Determine what percent of 
airline passengers incur this fee."
ch_distributions_44_1,OpenIntro Statistics,ch_distributions,44,10,1,"Heights of 10 year olds, Part I",normal_distribution,"Heights of 10 year olds, regardless of gender, closely follow
a normal distribution with mean 55 inches and standard deviation
6~inches.","What is the probability that a randomly chosen 10 year old
 is shorter than 48 inches?","Heights of 10 year olds, Part I

Heights of 10 year olds, regardless of gender, closely follow
a normal distribution with mean 55 inches and standard deviation
6~inches.

What is the probability that a randomly chosen 10 year old
 is shorter than 48 inches?","\qt{Heights of 10 year olds, Part I\label{heights_10_yrs}}
Heights of 10 year olds, regardless of gender, closely follow
a normal distribution with mean 55 inches and standard deviation
6~inches.
\begin{parts}
\item
    What is the probability that a randomly chosen 10 year old
    is shorter than 48 inches?
\item
    What is the probability that a randomly chosen 10 year old
    is between 60 and 65 inches?
\item
    If the tallest 10\% of the class is considered
    ``very tall'',
    what is the height cutoff for ``very tall""?
\end{parts}"
ch_distributions_44_2,OpenIntro Statistics,ch_distributions,44,10,2,"Heights of 10 year olds, Part I",normal_distribution,"Heights of 10 year olds, regardless of gender, closely follow
a normal distribution with mean 55 inches and standard deviation
6~inches.","What is the probability that a randomly chosen 10 year old
 is between 60 and 65 inches?","Heights of 10 year olds, Part I

Heights of 10 year olds, regardless of gender, closely follow
a normal distribution with mean 55 inches and standard deviation
6~inches.

What is the probability that a randomly chosen 10 year old
 is between 60 and 65 inches?","\qt{Heights of 10 year olds, Part I\label{heights_10_yrs}}
Heights of 10 year olds, regardless of gender, closely follow
a normal distribution with mean 55 inches and standard deviation
6~inches.
\begin{parts}
\item
    What is the probability that a randomly chosen 10 year old
    is shorter than 48 inches?
\item
    What is the probability that a randomly chosen 10 year old
    is between 60 and 65 inches?
\item
    If the tallest 10\% of the class is considered
    ``very tall'',
    what is the height cutoff for ``very tall""?
\end{parts}"
ch_distributions_44_3,OpenIntro Statistics,ch_distributions,44,10,3,"Heights of 10 year olds, Part I",normal_distribution,"Heights of 10 year olds, regardless of gender, closely follow
a normal distribution with mean 55 inches and standard deviation
6~inches.","If the tallest 10% of the class is considered
 ``very tall'',
 what is the height cutoff for ``very tall""?","Heights of 10 year olds, Part I

Heights of 10 year olds, regardless of gender, closely follow
a normal distribution with mean 55 inches and standard deviation
6~inches.

If the tallest 10% of the class is considered
 ``very tall'',
 what is the height cutoff for ``very tall""?","\qt{Heights of 10 year olds, Part I\label{heights_10_yrs}}
Heights of 10 year olds, regardless of gender, closely follow
a normal distribution with mean 55 inches and standard deviation
6~inches.
\begin{parts}
\item
    What is the probability that a randomly chosen 10 year old
    is shorter than 48 inches?
\item
    What is the probability that a randomly chosen 10 year old
    is between 60 and 65 inches?
\item
    If the tallest 10\% of the class is considered
    ``very tall'',
    what is the height cutoff for ``very tall""?
\end{parts}"
ch_distributions_45_1,OpenIntro Statistics,ch_distributions,45,11,1,Buying books on Ebay,probability,"Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.","What is the probability that a randomly selected auction for this book 
closes at more than $100?","Buying books on Ebay

Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.

What is the probability that a randomly selected auction for this book 
closes at more than $100?","\qt{Buying books on Ebay\label{buy_boooks_ebay}}
Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean \$89 and standard deviation \$15.
\begin{parts}

\item What is the probability that a randomly selected auction for this book 
closes at more than \$100?

\item Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?

\item If you watched 10 auctions, roughly what percentile might you use for a 
maximum bid cutoff to be somewhat sure that you will win one of these ten 
auctions? Is it possible to find a cutoff point that will ensure that you win 
an auction?

\item If you are willing to track up to ten auctions closely, about what 
price might you use as your maximum bid price if you want to be somewhat sure 
that you will buy one of these ten books?

\end{parts}"
ch_distributions_45_2,OpenIntro Statistics,ch_distributions,45,11,2,Buying books on Ebay,distribution,"Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.","Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?","Buying books on Ebay

Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.

Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?","\qt{Buying books on Ebay\label{buy_boooks_ebay}}
Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean \$89 and standard deviation \$15.
\begin{parts}

\item What is the probability that a randomly selected auction for this book 
closes at more than \$100?

\item Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?

\item If you watched 10 auctions, roughly what percentile might you use for a 
maximum bid cutoff to be somewhat sure that you will win one of these ten 
auctions? Is it possible to find a cutoff point that will ensure that you win 
an auction?

\item If you are willing to track up to ten auctions closely, about what 
price might you use as your maximum bid price if you want to be somewhat sure 
that you will buy one of these ten books?

\end{parts}"
